,Credibility Indicator Category,Question Number,Answer Number,Point Recommendation,Credibility Indicator Name,Start,End
117,Evidence,12.0,4.0,0.0,Open to evidence,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
76,Evidence,2.0,1.0,0.0,Quality of evidence,1401,1560
81,Evidence,2.0,6.0,0.0,Quality of evidence,1708,1710
81,Evidence,2.0,6.0,0.0,Quality of evidence,1679,1937
78,Evidence,2.0,3.0,0.0,Quality of evidence,1326,1399
78,Evidence,2.0,3.0,0.0,Quality of evidence,1187,1197
86,Evidence,4.0,2.0,-0.5,Sample representativeness,0,0
101,Evidence,8.0,3.0,-2.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
110,Evidence,11.0,2.0,-2.0,Systematic uncertainty,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1023,1106
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
78,Evidence,2.0,3.0,0.0,Quality of evidence,1165,1197
78,Evidence,2.0,3.0,0.0,Quality of evidence,1187,1189
78,Evidence,2.0,3.0,0.0,Quality of evidence,1023,1399
78,Evidence,2.0,3.0,0.0,Quality of evidence,1177,1186
78,Evidence,2.0,3.0,0.0,Quality of evidence,1023,1399
78,Evidence,2.0,3.0,0.0,Quality of evidence,1023,1399
78,Evidence,2.0,3.0,0.0,Quality of evidence,1239,1245
78,Evidence,2.0,3.0,0.0,Quality of evidence,1023,1399
80,Evidence,2.0,5.0,0.0,Quality of evidence,1165,1197
80,Evidence,2.0,5.0,0.0,Quality of evidence,1165,1197
80,Evidence,2.0,5.0,0.0,Quality of evidence,1576,1677
86,Evidence,4.0,2.0,-0.5,Sample representativeness,0,0
95,Evidence,5.0,5.0,-3.0,Control condition,0,0
100,Evidence,8.0,2.0,-3.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1023,1106
78,Evidence,2.0,3.0,0.0,Quality of evidence,1342,1429
103,Evidence,8.0,5.0,0.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1891,1937
76,Evidence,2.0,1.0,0.0,Quality of evidence,1882,1937
80,Evidence,2.0,5.0,0.0,Quality of evidence,1187,1245
80,Evidence,2.0,5.0,0.0,Quality of evidence,1442,1560
79,Evidence,2.0,4.0,0.0,Quality of evidence,1442,1560
78,Evidence,2.0,3.0,0.0,Quality of evidence,1401,1429
77,Evidence,2.0,2.0,0.0,Quality of evidence,1246,1266
90,Evidence,4.0,6.0,-2.0,Sample representativeness,0,0
92,Evidence,5.0,2.0,-0.5,Control condition,1576,1677
98,Evidence,6.0,3.0,-1.0,Randomized Assignment,0,0
101,Evidence,8.0,3.0,-2.0,Alternative explanation,0,0
104,Evidence,10.0,1.0,-3.0,Statistical uncertainty,0,0
109,Evidence,11.0,1.0,-3.0,Systematic uncertainty,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
80,Evidence,2.0,5.0,0.0,Quality of evidence,1165,1266
80,Evidence,2.0,5.0,0.0,Quality of evidence,1562,1937
76,Evidence,2.0,1.0,0.0,Quality of evidence,1401,1560
76,Evidence,2.0,1.0,0.0,Quality of evidence,1165,1399
78,Evidence,2.0,3.0,0.0,Quality of evidence,1306,1377
78,Evidence,2.0,3.0,0.0,Quality of evidence,1576,1677
87,Evidence,4.0,3.0,-1.0,Sample representativeness,0,0
94,Evidence,5.0,4.0,-2.0,Control condition,0,0
100,Evidence,8.0,2.0,-3.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
111,Evidence,11.0,3.0,-1.0,Systematic uncertainty,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1023,1106
76,Evidence,2.0,1.0,0.0,Quality of evidence,1401,1490
76,Evidence,2.0,1.0,0.0,Quality of evidence,1679,1786
86,Evidence,4.0,2.0,-0.5,Sample representativeness,0,0
101,Evidence,8.0,3.0,-2.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
110,Evidence,11.0,2.0,-2.0,Systematic uncertainty,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
109,Evidence,11.0,1.0,-3.0,Systematic uncertainty,0,0
117,Evidence,12.0,4.0,0.0,Open to evidence,0,0
117,Evidence,12.0,4.0,0.0,Open to evidence,0,0
77,Evidence,2.0,2.0,0.0,Quality of evidence,1227,1304
80,Evidence,2.0,5.0,0.0,Quality of evidence,1177,1197
76,Evidence,2.0,1.0,0.0,Quality of evidence,1313,1387
76,Evidence,2.0,1.0,0.0,Quality of evidence,1669,1937
76,Evidence,2.0,1.0,0.0,Quality of evidence,1213,1226
79,Evidence,2.0,4.0,0.0,Quality of evidence,1271,1304
78,Evidence,2.0,3.0,0.0,Quality of evidence,1313,1399
86,Evidence,4.0,2.0,-0.5,Sample representativeness,0,0
91,Evidence,5.0,1.0,0.0,Control condition,1614,1641
98,Evidence,6.0,3.0,-1.0,Randomized Assignment,0,0
101,Evidence,8.0,3.0,-2.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
117,Evidence,12.0,4.0,0.0,Open to evidence,0,0
76,Evidence,2.0,1.0,0.0,Quality of evidence,1401,1560
81,Evidence,2.0,6.0,0.0,Quality of evidence,1679,1937
86,Evidence,4.0,2.0,-0.5,Sample representativeness,0,0
101,Evidence,8.0,3.0,-2.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
114,Evidence,12.0,1.0,2.0,Open to evidence,1023,1106
80,Evidence,2.0,5.0,0.0,Quality of evidence,1165,1937
82,Evidence,2.0,7.0,0.0,Quality of evidence,900,1021
82,Evidence,2.0,7.0,0.0,Quality of evidence,2633,2688
82,Evidence,2.0,7.0,0.0,Quality of evidence,3129,3195
82,Evidence,2.0,7.0,0.0,Quality of evidence,4422,4509
82,Evidence,2.0,7.0,0.0,Quality of evidence,6098,6123
83,Evidence,2.0,8.0,0.0,Quality of evidence,1939,2236
87,Evidence,4.0,3.0,-1.0,Sample representativeness,0,0
92,Evidence,5.0,2.0,-0.5,Control condition,1607,1641
92,Evidence,5.0,2.0,-0.5,Control condition,2186,2236
98,Evidence,6.0,3.0,-1.0,Randomized Assignment,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
105,Evidence,10.0,2.0,-2.0,Statistical uncertainty,0,0
110,Evidence,11.0,2.0,-2.0,Systematic uncertainty,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
117,Evidence,12.0,4.0,0.0,Open to evidence,0,0
78,Evidence,2.0,3.0,0.0,Quality of evidence,1306,1399
76,Evidence,2.0,1.0,0.0,Quality of evidence,1562,1677
82,Evidence,2.0,7.0,0.0,Quality of evidence,1165,1197
86,Evidence,4.0,2.0,-0.5,Sample representativeness,0,0
101,Evidence,8.0,3.0,-2.0,Alternative explanation,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1023,1106
76,Evidence,2.0,1.0,0.0,Quality of evidence,1679,1937
82,Evidence,2.0,7.0,0.0,Quality of evidence,807,1021
80,Evidence,2.0,5.0,0.0,Quality of evidence,1562,1677
78,Evidence,2.0,3.0,0.0,Quality of evidence,4511,5011
79,Evidence,2.0,4.0,0.0,Quality of evidence,5855,6096
90,Evidence,4.0,6.0,-2.0,Sample representativeness,0,0
92,Evidence,5.0,2.0,-0.5,Control condition,1614,1641
98,Evidence,6.0,3.0,-1.0,Randomized Assignment,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
105,Evidence,10.0,2.0,-2.0,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1023,1106
76,Evidence,2.0,1.0,0.0,Quality of evidence,1401,1560
81,Evidence,2.0,6.0,0.0,Quality of evidence,1562,1786
82,Evidence,2.0,7.0,0.0,Quality of evidence,1939,1952
82,Evidence,2.0,7.0,0.0,Quality of evidence,1576,1594
82,Evidence,2.0,7.0,0.0,Quality of evidence,1108,1143
78,Evidence,2.0,3.0,0.0,Quality of evidence,1326,1399
86,Evidence,4.0,2.0,-0.5,Sample representativeness,0,0
100,Evidence,8.0,2.0,-3.0,Alternative explanation,0,0
105,Evidence,10.0,2.0,-2.0,Statistical uncertainty,0,0
110,Evidence,11.0,2.0,-2.0,Systematic uncertainty,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1023,1106
80,Evidence,2.0,5.0,0.0,Quality of evidence,1562,1677
76,Evidence,2.0,1.0,0.0,Quality of evidence,1679,1937
90,Evidence,4.0,6.0,-2.0,Sample representativeness,0,0
91,Evidence,5.0,1.0,0.0,Control condition,1607,1641
97,Evidence,6.0,2.0,-2.0,Randomized Assignment,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1023,1106
115,Evidence,12.0,2.0,1.0,Open to evidence,1679,1937
77,Evidence,2.0,2.0,0.0,Quality of evidence,1239,1266
83,Evidence,2.0,8.0,0.0,Quality of evidence,1114,1136
83,Evidence,2.0,8.0,0.0,Quality of evidence,1058,1060
83,Evidence,2.0,8.0,0.0,Quality of evidence,1153,1176
76,Evidence,2.0,1.0,0.0,Quality of evidence,1023,1067
87,Evidence,4.0,3.0,-1.0,Sample representativeness,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1939,1952
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
78,Evidence,2.0,3.0,0.0,Quality of evidence,1165,1560
80,Evidence,2.0,5.0,0.0,Quality of evidence,1165,1937
83,Evidence,2.0,8.0,0.0,Quality of evidence,1114,1143
79,Evidence,2.0,4.0,0.0,Quality of evidence,1401,1560
79,Evidence,2.0,4.0,0.0,Quality of evidence,1679,1937
90,Evidence,4.0,6.0,-2.0,Sample representativeness,0,0
92,Evidence,5.0,2.0,-0.5,Control condition,1882,1937
98,Evidence,6.0,3.0,-1.0,Randomized Assignment,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
106,Evidence,10.0,3.0,-1.0,Statistical uncertainty,0,0
111,Evidence,11.0,3.0,-1.0,Systematic uncertainty,0,0
114,Evidence,12.0,1.0,2.0,Open to evidence,1023,1106
76,Evidence,2.0,1.0,0.0,Quality of evidence,1679,1937
86,Evidence,4.0,2.0,-0.5,Sample representativeness,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
106,Evidence,10.0,3.0,-1.0,Statistical uncertainty,0,0
111,Evidence,11.0,3.0,-1.0,Systematic uncertainty,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
80,Evidence,2.0,5.0,0.0,Quality of evidence,1562,1677
85,Evidence,4.0,1.0,0.0,Sample representativeness,0,0
91,Evidence,5.0,1.0,0.0,Control condition,1679,1937
97,Evidence,6.0,2.0,-2.0,Randomized Assignment,0,0
103,Evidence,8.0,5.0,0.0,Alternative explanation,0,0
108,Evidence,10.0,5.0,0.0,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
115,Evidence,12.0,2.0,1.0,Open to evidence,1023,1106
